Id,Name,Language,Country,Release_date,Length,Revenue_Id
1,Lagaan: Once Upon a Time in India,Hindi,India,2001-04-20,224,1
2,Transformers,English,US,2007-04-03,124,2
3,Pirates of the Caribbean: At World End,English,US,2007-05-25,168,3
4,Chori Chori Chupke Chupke,Hindi,India,2001-04-09,160,4
5,American Gangster,English,US,2007-10-09,160,5
6,Knocked Up,English,US,2007-06-01,133,6
7,Chandni Bar,Hindi,India,2001-09-28,150,7
8,Enchanted,English,US,2007-11-21,107,8
9,Blades of Glory,English,US,2007-03-30,93,9
10,Ghost Rider,English,US,2007-02-16,123,10
11,Baghban,Hindi,India,2003-10-03,183,11
12,Love at Times Square,Hindi,India,2003-02-14,120,12
13,What Happens in Vegas,English,US,2008-05-01,101,13
14,The Curious Case of Benjamin Button,English,US,2008-12-25,166,14
15,The Happening,English,US,2008-06-10,91,15
16,"Street Kings	",English,US,2008-04-11,109,16
17,Andaaz,Hindi,India,2003-05-23,149,17
18,"Kal Ho Naa Ho	",Hindi,India,2003-11-28,186,18
19,Never Back Down,English,US,2008-03-14,115,19
20,"Whip It	",English,US,2009-10-02,111,20
21,Not Easily Broken,English,US,2009-01-09,100,21
22,Clash of the Titans,English,US,2010-04-02,106,22
23,Aapko Pehle Bhi Kahin Dekha Hai,Hindi,India,2003-01-10,145,23
24,"Knight and Day	",English,US,2010-06-23,110,24
25,"Skyline	",English,US,2010-11-11,94,25
26,Bhootnath,Hindi,India,2008-09-05,125,26
27,Rab ne bana di jodi,Hindi,India,2008-12-12,172,27
28,Luck,Hindi,India,2009-07-24,141,28
29,Golmaal 3,Hindi,India,2010-05-10,140,29
30,Singham,Hindi,India,2011-07-22,143,30
31,1920: The Evil Returns,Hindi,India,2012-02-11,119,31
32,Alone,Hindi,India,2015-01-16,134,32
33,Chennai Express,Hindi,India,2013-08-09,141,33
34,Captain America: The First Avenger,English,USA,2011-07-19,124,34
35,Thor,English,USA,2011-02-05,114,35
36,The Five-Year Engagement,English,USA,2012-04-27,124,36
37,World War Z,English,USA,2022-09-12,116,37
38,Neighbors,English,USA,2022-09-12,97,38
39,PK,Hindi,India,2014-12-19,152,39
40,The Conjuring,English,USA,2013-07-15,112,40
41,The conjuring 2,English,USA,2022-09-12,134,41
42,Drishyam,Hindi,India,2015-07-31,163,42
43,Avengers: Age of Ultron,English,USA,2015-01-05,141,43
44,Dishoom,Hindi,India,2016-07-29,124,44
45,Baywatch,English,USA,2017-05-25,116,45
46,Raazi,Hindi,India,2018-05-11,140,46
47,Kabir Singh,Hindi,India,2019-06-21,172,47
48,Extraction,English,USA,2022-09-12,117,48
49,Sooryavanshi,Hindi,India,2021-05-11,145,49
50,Thor: Love and Thunder,English,USA,2022-09-12,119,50
51,Drishyam 2,Hindi,India,2022-09-12,140,51
